tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1196729;Siga, siga;Siga, siga;2023;11/11/2023;11/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Luciana y Mariano son árbitros de fútbol. Su profesión obliga a que el error y la crítica constante convivan. Sin embargo, su pasión y amor por el juego hacen que sigan eligiendo continuar con su carr;3709;0;0
1196283;El pensamiento analógico;El pensamiento analógico;2023;4/11/2023;4/11/2023;AR;Festival Internacional de Cine de Mar del Plata;En un mundo donde el progreso tecnológico se concibe como una flecha hacia adelante, ¿por qué algunos se obstinan en seguir trabajando con esos equipos que otros llaman obsoletos? El pensamiento analó;3236;9;1
1198389;-Mamá…;-Mamá…;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Ser mamá de Bahía ocupa casi todo su tiempo y espacio. Habiendo retomado la carrera de Arquitectura y las riendas de sí misma, sin dormir,estudiando todo el día, un deseo y un profundo secreto se fusi;3154;0;0
1198708;Todas las cosas que llevo conmigo;Todas las cosas que llevo conmigo;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Víctor, un hombre huraño y obsesivo, se muda aun departamento en impecable estado. La primera noche, una mancha de humedad aparece en el techo inmaculado de su dormitorio. La mancha comienza a crecer ;3105;0;0
1048261;Carne de Dios;Carne de Dios;2023;13/11/2023;11/11/2022;AR;Mar del Plata Film Festival;Siglo XVII. En algún lugar perdido entre las montañas de México, un fraile católico que ha caído víctima de una extraña enfermedad es llevado por su discípulo nativo al hogar de una curandera indígena;2982;7;1
1106249;Nostalgia para el lago;Nostalgia para el lago;2023;24/4/2023;24/4/2023;AR;BAFICI;Un canoero flota entre el sueño y la vigilia en el lago infinito, teniendo de única compañía a su vieja radio. Su bote “Ara” (tiempo, en guaraní) viaja a través del tiempo como una estrella fugaz.;2947;6;2
848682;On / Off;On / Off;2023;18/11/2023;4/11/2021;GB;Ealing Film Festival;;2945;0;0
1194827;Darlo todo;Darlo todo;2023;28/10/2023;28/10/2023;AR;Festival Asterisco;“El drag es política pura”, sostiene una de les artistas que protagonizan este documental sobre el arte drag en Argentina a partir del concurso “Miss Lipsync Battle”, que se realiza en el bar Peuteo e;2918;0;0
1387807;Los mundos de Reni;Los mundos de Reni;2023;1/1/2023;12/10/2025;TW;Kaohsiung Film Festival;;2886;0;0
1110816;Otra película maldita;Otra película maldita;2023;21/4/2023;21/4/2023;AR;BAFICI;Una historia del cine de terror argentino, desde sus inicios en 1934 hasta la actualidad. Es un camino de derrotas, callejones sin salida y triunfos, donde los protagonistas nos conducirán por los pas;2884;64;5
