tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1145148,La terminal,La terminal,2023,2023-07-05,2023-07-05,FR,FID Marseille,"Bañada en la penumbra, una estación de autobuses al norte de Córdoba en Argentina. La espera y las llegadas y salidas de los autobuses locales marcan la vida de estos trabajadores y viajeros. Lejos de",0.4281,10,1,exists_by_tmdb,194078,La terminal,2023,Match por tmdb_id
1146283,Callejero Fino,Callejero Fino,2023,2023-07-02,2023-07-02,AR,STAR+ LIVE,,0.1593,0,0,missing,,,,No encontrada en CineNacional
1137745,Las apariencias,Las apariencias,2023,2023-07-01,2024-03-13,DK,CPH:DOX Intl. Premiere,,0.1914,0,0,missing,,,,No encontrada en CineNacional
1067431,Tiempo de retiro,Tiempo de retiro,2023,2023-07-01,2023-07-01,AR,,"Pedro es un sicario al que van a retirar por un trabajo mal realizado. Enrique, su jefe, decide  mandarlo a matar a él y a su compañero Andrés, quien se entera y decide idear un  plan para salvarlo.",0.508,10,1,missing,,,,No encontrada en CineNacional
1297819,"Hamelin, el flautista","Hamelin, el flautista",2023,2023-06-30,2023-06-30,AR,,El cortometraje cuenta una versión litoraleña del flautista de Hamelín.,0.1325,0,0,missing,,,,No encontrada en CineNacional
1281878,Umbral,Umbral,2023,2023-06-29,2023-06-29,AR,FESAALP,Un recorrido por diversas historias de mujeres que transitan la menopausia. Ellas cuestionan los abordajes actuales y elaboran estrategias para atravesar esta etapa.,0.0826,0,0,possible_match,4346,Umbra,0,Posible match (83%)
1185811,Joy,Joy,2023,2023-06-29,2023-06-29,GB,"Embassy of Argentina presents Orgullo Exhibition - London, UK.",,0.2886,6,1,missing,,,,No encontrada en CineNacional
1146990,Hardcore Insertions,Hardcore Insertions,2023,2023-06-29,2023-06-29,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
1146727,Pelotero del mundo,Pelotero del mundo,2023,2023-06-29,2023-06-29,AR,,"Un documental de investigación que se adentra en el mundo del fútbol infantojuvenil orientado a la exportación. Con una mirada detallada sobre el proceso formativo en diversos contextos, desde clubes ",0.1972,0,0,exists_by_tmdb,189723,Pelotero del mundo,2022,Match por tmdb_id
1146289,Destino Pasional,Destino Pasional,2023,2023-06-29,2023-06-29,AR,,"Mahalia y Norberto, dos extraños, pasajeros de un vuelo intercontinental hacia Argentina, viven una apasionada aventura en una pequeña isla paradisíaca tras un aterrizaje imprevisto. Para Mahalia esta",0.4842,0,0,exists_by_tmdb,189750,Destino pasional,2023,Match por tmdb_id
1358127,Franki,Franki,2023,2023-06-28,2023-06-25,AR,,Un extraño vampiro llamado Franki se encuentra tranquilo y sereno comiendo en su casa... pero... ¿qué es lo que come?,0.2028,0,0,missing,,,,No encontrada en CineNacional
1145273,Oh My Cock,Oh My Cock,2023,2023-06-27,2023-06-27,DE,,,0,0,0,missing,,,,No encontrada en CineNacional
1144361,TASTY!,TASTY!,2023,2023-06-27,2023-06-24,AR,,El apetito insaciable de una sociedad de élite.,0.2487,9.5,4,missing,,,,No encontrada en CineNacional
1137271,En caso de sismo,En caso de sismo,2023,2023-06-25,2023-06-25,US,Dances With Films,,0.524,0,0,missing,,,,No encontrada en CineNacional
